City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Dropoff Time,Dropoff Lat,Dropoff Lng,Distance (miles),Fare Amount,Fare Currency
Natal,UberX,COMPLETED,2020-11-28 15:59:53 +0000 UTC,2020-11-28 16:04:12 +0000 UTC,-5.8421707,-35.205635,2020-11-28 16:10:07 +0000 UTC,-5.8387356,-35.219852,1.65,6.6,BRL
Natal,UberX,CANCELED,2020-11-28 15:58:47 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-5.8510103,-35.20525,1970-01-01 00:00:00 +0000 UTC,-5.85133075714111,-35.20483922958374,0.00,0,BRL
Natal,UberX,CANCELED,2020-11-28 15:57:49 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-5.8544984,-35.2033,1970-01-01 00:00:00 +0000 UTC,-5.85404276847839,-35.20389068126678,0.00,0,BRL
Natal,UberX,COMPLETED,2020-11-21 12:34:11 +0000 UTC,2020-11-21 12:39:16 +0000 UTC,-5.849707,-35.20607,2020-11-21 12:42:39 +0000 UTC,-5.842223,-35.20572,0.75,7.24,BRL
Natal,UberX,COMPLETED,2020-11-17 19:37:51 +0000 UTC,2020-11-17 19:42:40 +0000 UTC,-5.82012,-35.23489,2020-11-17 19:54:18 +0000 UTC,-5.8422412999999995,-35.205654,3.91,15.99,BRL
Natal,UberX,COMPLETED,2020-11-03 14:22:43 +0000 UTC,2020-11-03 14:26:58 +0000 UTC,-5.842169,-35.205555,2020-11-03 14:38:53 +0000 UTC,-5.8200544999999995,-35.234806,3.60,12.63,BRL
Natal,UberX,COMPLETED,2020-10-26 18:45:07 +0000 UTC,2020-10-26 18:52:41 +0000 UTC,-5.790528,-35.198845,2020-10-26 19:07:18 +0000 UTC,-5.842242,-35.205704,4.39,13.04,BRL
Natal,UberX,COMPLETED,2020-10-26 17:16:42 +0000 UTC,2020-10-26 17:23:17 +0000 UTC,-5.8422623,-35.205685,2020-10-26 17:37:50 +0000 UTC,-5.790585,-35.198776,4.61,13.33,BRL
Natal,UberX,COMPLETED,2020-10-24 14:59:53 +0000 UTC,2020-10-24 15:06:24 +0000 UTC,-5.84221,-35.205708,2020-10-24 15:21:15 +0000 UTC,-5.846475,-35.24116,4.76,12.28,BRL
Natal,UberX,COMPLETED,2020-10-23 14:46:05 +0000 UTC,2020-10-23 14:51:31 +0000 UTC,-5.849548,-35.20605,2020-10-23 14:57:07 +0000 UTC,-5.8422103,-35.20565,0.79,5.95,BRL
Natal,UberX,COMPLETED,2020-10-22 11:16:12 +0000 UTC,2020-10-22 11:18:03 +0000 UTC,-5.831499,-35.222843,2020-10-22 11:23:51 +0000 UTC,-5.842223,-35.205685,1.98,8.35,BRL
Natal,UberX,COMPLETED,2020-10-22 10:46:30 +0000 UTC,2020-10-22 10:48:21 +0000 UTC,-5.7905374,-35.198826,2020-10-22 11:03:19 +0000 UTC,-5.831584,-35.222878,4.05,13.7,BRL
Natal,UberX,COMPLETED,2020-10-22 10:22:53 +0000 UTC,2020-10-22 10:25:55 +0000 UTC,-5.842231,-35.20576,2020-10-22 10:42:17 +0000 UTC,-5.7905283,-35.198875,4.33,14.36,BRL
Natal,UberX,COMPLETED,2020-10-21 12:44:45 +0000 UTC,2020-10-21 12:50:55 +0000 UTC,-5.7906647,-35.198757,2020-10-21 13:05:50 +0000 UTC,-5.842304,-35.205616,4.38,13.28,BRL
